t_update, t_query, avg_total_queries, avg_total_cache_hit, cahce_hit_ratio, avg_query_delay
5.000000, 10.000000, 6478.000000, 1633.000000, 25.208398, 52035.437730
10.000000, 10.000000, 6736.000000, 2638.000000, 39.162708, 51937.546092
15.000000, 10.000000, 6933.000000, 3289.000000, 47.439781, 51860.039764
20.000000, 10.000000, 7001.000000, 3701.000000, 52.863877, 51744.818679
25.000000, 10.000000, 7152.000000, 4130.000000, 57.746085, 51719.504116
10.000000, 5.000000, 9686.000000, 4477.000000, 46.221350, 51400.591422
10.000000, 15.000000, 5037.000000, 1656.000000, 32.876712, 52488.431492
10.000000, 20.000000, 3965.000000, 1175.000000, 29.634300, 53332.219537
10.000000, 25.000000, 3226.000000, 854.000000, 26.472412, 53982.621783
